Código,Descripción,Precio ₡,Precio $ (ref),% IVA,publicar,nota
SAD,PAQUETE SALUD ADOLESCENTE,20000,0,4,SI,
PTH,PARATOHORMONA (PTH),30000,47.84,4,SI,
PCR Neisseria,PCR por Neisseria gonorrhoeae,90000,174.72,4,SI,
PCR Trichomonas,PCR por Trichomonas Vaginalis,84500,0,4,SI,
PEP C,PEPTIDO C,18000,0,4,SI,
2739,PERFIL DE LIPIDOS,21000,33.18,4,SI,
2737,PERFIL HEPATICO,52000,85.28,4,SI,
TIRO,PERFIL TIROIDEO COMPLETO,49000,0,4,SI,
316,POTASIO (SUERO),9500,15.29,4,SI,
PREGNENOLONA,PREGNENOLONA,67000,119.3,4,SI,
PQ,PREQUIRURGICO,52000,93.6,4,SI,
PROCALCITONINA,PROCALCITONINA,42200,0,4,SI,
704,PROGESTERONA,16500,26,4,SI,
PRL,PROLACTINA,16500,31.2,4,SI,
jun,PROMOCION JUNIO,31200,0,4,SI,
405,PROTEINA C REACTIVA,14000,20.38,4,SI,
406,PROTEINA C REACTIVA ULTRASENSIBLE,17000,28.18,4,SI,
73,PROTEINAS TOTALES Y FRACCIONADAS (SUERO),16500,26.42,4,SI,
PROT,PROTEINURIA 24H,11000,15.6,4,SI,
DQ,PRUEBA GENETICA ENFERMEDAD CELIACA DQ2 / DQ8,80000,0,4,NO,Descontinuado: incluido ahora dentro de CELCOM (Control Celiaco Completo)
PSAMov,PSA Movember,14900,26,4,SI,
Aler75,Panel completo 75 alergenos,416000,0,4,SI,
DIAB PRE,"Paquete Diabetes Preventivo (Hemoglobina glicosilada, Indica HOMA (glucosa + insulina)",40000,0,4,SI,
2738,Perfil Renal (BUN/Crea),14000,26.37,4,SI,
PRP,Plasma Rico en Plaquetas,15000,0,4,SI,
pdr,Promo Dia Padre (psa+hemograma),24900,9383.92,4,SI,
ProtC,Proteína C,115000,0,4,SI,
quan,QUANTIFERON,67600,0,4,SI,
872,RETICULOCITOS,8000,15.39,4,SI,
85,ROTAVIRUS/ADENOVIRUS EN HECES,31500,27.04,4,SI,
soh,SANGRE OCULTA HECES,8000,9.36,4,SI,
EG 3,SERIE 3 MUESTRAS PARASITOS,15000,0,4,SI,
SO3,SERIE 3 MUESTRAS SANGRE OCULTA EN HECES,22000,47.63,4,SI,
covid,SEROLOGIA COVID,22000,0,4,SI,
VACUNA,SEROLOGIA COVID POST VACUNA,28000,0,4,SI,
SE,SEROLOGIA LEPTOSPIRA EQUINO,15600,20.8,4,SI,
dengue,SEROLOGIA POR DENGUE,29500,55.45,4,SI,
sp,SERVICIOS PROFESIONALES,10.4,0,4,SI,
sexo,BABY CHECK (SEXO FETAL),55000,104,4,SI,
SHBG,SHBG (globulina fijadora de las hormonas sexuales),22000,0,4,SI,
314,SODIO (SUERO),9500,15.3,4,SI,
Sero,Serotonina,146000,276.64,4,SI,
32,T3 LIBRE,16500,28.18,4,SI,
t3r,T3 REVERSA,55000,40.06,4,SI,
34,T3 TOTAL,16500,22.15,4,SI,
31,T4 LIBRE,16500,28.18,4,SI,
33,T4 TOTAL,16500,22.15,4,SI,
SA,TAMIZAJE POR S. agalactiae,20000,0,4,SI,
GRAHAM,TEST DE GRAHAM,10000,16.64,4,SI,
711,TESTOSTERONA LIBRE,22000,35.36,4,SI,
710,TESTOSTERONA TOTAL,20000,28.08,4,SI,
75,TGO/AST,11000,17.06,4,SI,
76,TGP/ALT,11000,16.95,4,SI,
300,TIEMPO DE PROTROMBINA,11500,16.95,4,SI,
303,TIEMPO DE TROMBOPLASTINA PARCIAL,11500,17.06,4,SI,
35,TIROGLOBULINA,24000,38.48,4,SI,
TRANS,TRANSFERRINA,12500,20.8,4,SI,
60,TRIGLICERIDOS,6730.77,8.2,0,SI,
400,TROPONINA CUANTIFICADA,29000,46.07,4,SI,
30,TSH (HORMONA ESTIMULANTE TIROIDES),17000,28.18,4,SI,
URO,UROCULTIVO,25000,42.64,4,SI,
var,VARICELA,25000,0,4,SI,
600,VDRL,8500,13.62,4,SI,
873,VELOCIDAD DE ERITROSEDIMENTACION,8000,11.13,4,SI,
b12,VITAMINA B12,21000,31.2,4,SI,
vit d,VITAMINA D,35000,52,4,SI,
VitA,Vitamina A,80000,151.84,4,SI,
D3,Vitamina D3,134000,239.2,4,SI,
